,you_you,you_the,you_it,you_that,you_a,you_what,you_do,you_to,you_this,you_go,you_your,you_put,you_get,you_have,you_with,you_me,you_some,you_play,you_.,the_is,the_and,the_in,the_on,the_of,the_one,the_.,it_you,it_the,it_a,it_.,that_you,that_a,that_.,a_of,a_.,what_you,what_the,what_it,what_that,what_is,what_do,what_this,what_we,what_.,i_you,i_the,i_it,i_that,i_a,i_gonna,i_think,i_know,i_.,is_a,is_.,do_see,do_wanna,do_think,do_want,do_know,do_.,and_.,to_the,to_it,to_.,in_.,there_go,there_.,this_.,we_.,on_.,go_the,go_.,here_go,here_.,your_.,can_it,can_.,he_a,he_.,are_do,are_gonna,are_.,no_.,see_.,don't_it,don't_.,look_the,look_.,put_in,put_on,like_.,gonna_it,gonna_.,of_.,did_.,where_you,where_go,get_.,have_.,wanna_it,up_.,with_.,for_.,they_.,me_.,mommy_.,good_.,at_.,say_.,she_.,little_.,not_.,all_.,some_.,how_you,was_.,who_.,be_.,so_.,baby_.,my_.,back_.,eat_.,his_.,over_.,too_.,her_.,about_.,big_.,more_.,would_like,why_you,an_.,other_.,another_.,infname_.,oh_.,one_.,right_.,let_.,come_.,want_to,want_.,got_.,very_.,._you,._the,._it,._that,._a,._what,._i,._is,._do,._and,._in,._there,._this,._we,._on,._go,._here,._your,._can,._he,._are,._no,._see,._don't,._look,._put,._like,._gonna,._did,._where,._get,._have,._wanna,._up,._they,._me,._mommy,._good,._think,._at,._say,._she,._little,._not,._now,._all,._some,._does,._was,._who,._am,._my,._about,._would,._then,._have_to,._infname,._okay,._yeah,._one,._right,._let,._come,._want,._know,._just,._got,._else,._.,OTHER,word
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,16,0,0,0,0,0,0,3,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,1,0,1,0,0,0,0,66,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,1,1,0,0,0,0,4,0,15,0,1,0,0,15,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,15,0,0,0,0,10,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,309,cracker
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,3,0,207,0,0,0,0,1,0,14,2,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,285,basket
393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,2,0,0,84,0,0,0,2,0,0,6,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,5,0,3,0,0,0,0,0,0,0,0,2,6,0,0,3,0,0,2,2,2,0,0,0,1,0,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,23,320,towel
394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,54,0,0,0,1,0,0,4,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,0,58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,5,0,0,0,0,0,1,0,0,0,7,0,0,23,0,0,3,0,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,27,295,bicycle
395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,0,0,54,0,0,0,3,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,5,14,6,0,0,13,0,0,0,0,3,0,0,4,1,0,0,0,0,0,1,0,0,0,0,5,0,1,0,2,0,0,4,0,2,0,0,0,0,1,0,3,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,2,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,37,380,butter
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,13,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,556,tiny
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,63,0,0,0,1,0,0,4,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,1,15,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,2,0,0,0,2,0,1,5,0,5,1,0,1,0,0,0,0,0,3,2,0,0,1,0,0,0,0,5,0,0,0,0,2,0,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,74,284,turtle
398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,34,0,0,0,2,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,1,0,0,5,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,8,0,0,9,0,0,0,0,5,0,0,5,1,0,0,0,2,0,1,0,3,1,0,41,0,0,0,0,0,7,1,0,7,1,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,338,yogurt
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,0,29,0,0,0,5,0,0,10,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,2,11,0,0,51,0,0,7,0,1,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,283,tongue
400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,4,0,0,63,0,0,0,3,1,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,8,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,0,27,1,0,0,1,2,0,0,16,0,0,0,0,0,0,1,0,0,1,0,15,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,7,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,346,playdoh
401,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,61,0,0,0,1,0,0,0,1,0,0,0,0,0,3,2,0,3,37,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,384,high
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,17,1,0,0,0,0,1,1,1,0,0,0,4,1,1,9,0,0,1,0,6,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,485,full
403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,1,0,0,0,28,0,0,0,2,0,0,7,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,2,0,0,0,1,0,6,0,0,0,0,36,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,1,0,17,0,0,0,0,4,0,0,0,3,1,0,0,2,0,2,0,0,1,0,40,0,0,0,0,0,0,7,0,6,3,1,0,2,0,0,16,0,0,1,0,2,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,316,toast
404,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,32,0,0,0,0,0,0,0,13,1,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,2,0,1,0,0,1,1,11,2,1,0,0,8,0,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,385,scare
405,0,6,3,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,6,1,7,3,3,0,4,59,0,0,0,0,0,0,4,0,102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,1,0,0,1,0,0,0,14,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,1,1,5,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,3,0,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,3,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,223,hammer
406,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,2,3,6,0,0,1,22,0,4,0,0,0,5,2,21,39,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,1,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,314,sad
407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,3,1,0,0,49,0,0,0,0,0,0,5,0,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,9,0,0,1,0,0,0,1,0,4,0,0,0,1,0,0,0,3,17,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,44,314,tiger
408,0,2,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,2,3,0,1,162,0,0,0,2,0,0,0,0,8,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,326,park
